feature_extraction_method,ngram_range,lemmatization,annotator,model,f1_score
bow,"(1, 1)",True,final,logistic regression,0.8783659544895975
bow,"(1, 1)",True,final,multinomial naive bayes,0.8429410006823922
bow,"(1, 1)",True,final,support vector machine,0.8568457652443875
bow,"(1, 1)",True,final,random forest,0.870077158580708
bow,"(1, 1)",True,final,knn,0.8450949042838027
bow,"(1, 1)",True,all,logistic regression,0.867650075652945
bow,"(1, 1)",True,all,multinomial naive bayes,0.8314084719516294
bow,"(1, 1)",True,all,support vector machine,0.8444679335114571
bow,"(1, 1)",True,all,random forest,0.8558773841546928
bow,"(1, 1)",True,all,knn,0.8315660731989947
bow,"(1, 1)",False,final,logistic regression,0.869352688835776
bow,"(1, 1)",False,final,multinomial naive bayes,0.8456102047153391
bow,"(1, 1)",False,final,support vector machine,0.8519986042662049
bow,"(1, 1)",False,final,random forest,0.8634038527055075
bow,"(1, 1)",False,final,knn,0.8407178753746086
bow,"(1, 1)",False,all,logistic regression,0.8573663640713344
bow,"(1, 1)",False,all,multinomial naive bayes,0.833361943748252
bow,"(1, 1)",False,all,support vector machine,0.8389100292141615
bow,"(1, 1)",False,all,random forest,0.8528488660348597
bow,"(1, 1)",False,all,knn,0.8267400526781348
bow,"(1, 2)",True,final,logistic regression,0.8746680536756215
bow,"(1, 2)",True,final,multinomial naive bayes,0.8459875985849897
bow,"(1, 2)",True,final,support vector machine,0.8494437094330718
bow,"(1, 2)",True,final,random forest,0.854982281552884
bow,"(1, 2)",True,final,knn,0.8396919824100086
bow,"(1, 2)",True,all,logistic regression,0.8635658194936406
bow,"(1, 2)",True,all,multinomial naive bayes,0.8329523190408569
bow,"(1, 2)",True,all,support vector machine,0.8357298018066895
bow,"(1, 2)",True,all,random forest,0.8484461284584821
bow,"(1, 2)",True,all,knn,0.8257145111431416
bow,"(1, 2)",False,final,logistic regression,0.8626336059325647
bow,"(1, 2)",False,final,multinomial naive bayes,0.8304818661569056
